PIR	SIZE	RNA_OVERLAP	promoter_genes	TPMs	ENCODE_merged
16_28621477_28629330	7853	RNA	SNORA25;XPO6;Y_RNA	NA;108.318173;NA	1
16_28629331_28639137	9806	noRNA	RNU6-1043P;RP11-146F11.1;SRCAP	NA;NA;32.974479	0
16_28816765_28824745	7980	noRNA	CLN3;NPIPB7;CD19;RABEP2	25.616568846248;0.189381;0.08294;10.654074	0
16_2881973_2906335	24362	RNA	CCNF;SRRM2-AS1	28.7379143;NA	1
16_28839158_28842397	3239	RNA	SH2B1;TUFM;CD19;RABEP2;NFATC2IP	27.6729577;318.91;0.08294;10.654074;61.28935	0
16_28842398_28857440	15042	RNA	ATXN2L;RP11-1348G14.5;ATP2A1;CD19;RABEP2;NFATC2IP;LAT;RP11-264B17.3;RP11-264B17.4;RP11-264B17.5;SPNS1;DOC2A	115.50896;NA;8.350633;0.08294;10.654074;61.28935;2.902355;NA;NA;NA;33.302312;3.5054253	1
16_28873233_28881011	7778	RNA	CD19;RABEP2;NFATC2IP	0.08294;10.654074;61.28935	1
16_28881630_28884129	2499	RNA	NFATC2IP	61.28935	0
16_28884130_28887050	2920	RNA	CD19;RABEP2;NFATC2IP;LAT;RP11-264B17.3;RP11-264B17.4;RP11-264B17.5;SPNS1	0.08294;10.654074;61.28935;2.902355;NA;NA;NA;33.302312	1
16_28897420_28900181	2761	noRNA	COQ7;RP11-626G11.1;RP11-626G11.5	16.3682242;NA;NA	0
16_28954818_28960197	5379	noRNA	RP11-57A19.2;SBK1;ATP2A1;ATP2A1;RP11-22P6.3;SNORA43	NA;33.3556;8.350633;8.350633;NA;NA	1
16_28964933_28968042	3109	noRNA	ATXN2L;RP11-1348G14.5;LAT;RP11-264B17.3;RP11-264B17.4;RP11-264B17.5;SPNS1;TAOK2	115.50896;NA;2.902355;NA;NA;NA;33.302312;19.626986	0
16_28968043_28973762	5719	RNA	ATXN2L;RP11-1348G14.5;ATP2A1	115.50896;NA;8.350633	0
16_28973763_28975113	1350	noRNA	ATP2A1;NFATC2IP	8.350633;61.28935	0
16_28975114_28980203	5089	RNA	TMEM219	52.065284	0
16_2913937_2917954	4017	RNA	AC009133.12;AC009133.20;MVP	NA;NA;4.140429	0
16_2917955_2931012	13057	RNA	PRSS27;SRRM2-AS1;ZNF771	1.302329;NA;9.174104	1
16_29481014_29484865	3851	noRNA	MYLPF;ZNF48	1.026677;27.21624	0
16_29506449_29516698	10249	noRNA	MYLPF;TBC1D10B;MYLPF;ZNF48	1.026677;18.58349;1.026677;27.21624	0
16_2964021_2967218	3197	RNA	FLYWCH1;FLYWCH2	18.4550260002107;16.762203	1
16_2967219_2970232	3013	RNA	SRRM2-AS1;SRRM2;FLYWCH1;FLYWCH2	NA;338.497873;18.4550260002107;16.762203	1
16_29680021_29708173	28152	RNA	GDPD3;RP11-455F5.4	0.995679;NA	1
16_2970233_2972167	1934	RNA	PRSS27;SRRM2-AS1;SRRM2;FLYWCH1;FLYWCH2;KREMEN2;LA16c-321D4.2;PAQR4;PKMYT1	1.302329;NA;338.497873;18.4550260002107;16.762203;5.942195952819;NA;25.517418;68.8603553	0
16_29708174_29710821	2647	noRNA	TAOK2;HIRIP3;INO80E;C16orf92;DOC2A;FAM57B	19.626986;14.247634;70.830241;0.1798534;3.5054253;6.8678204	0
16_29710822_29712463	1641	RNA	AC009133.15;MAZ;DOC2A	NA;282.6329414273;3.5054253	1
16_29712464_29728319	15855	RNA	DOC2A;C16orf92;DOC2A;FAM57B	3.5054253;0.1798534;3.5054253;6.8678204	1
16_2972168_2974997	2829	RNA	SRRM2-AS1;SRRM2	NA;338.497873	1
16_29729039_29730872	1833	noRNA	AC009133.17;C16orf54	NA;1.01758	0
16_29730873_29750175	19302	RNA	AC009133.15;MAZ;C16orf92;DOC2A;FAM57B	NA;282.6329414273;0.1798534;3.5054253;6.8678204	1
16_29760366_29763182	2816	noRNA	C16orf92;DOC2A;FAM57B	0.1798534;3.5054253;6.8678204	0
16_29780754_29785213	4459	RNA	AC009133.17;C16orf54;HIRIP3;INO80E	NA;1.01758;14.247634;70.830241	0
16_2978242_2995706	17464	RNA	PRSS27;LA16c-325D7.1;PRSS22	1.302329;NA;0.4125336	0
16_29785214_29796312	11098	RNA	AC009133.17;C16orf54;HIRIP3;INO80E;C16orf92;DOC2A;FAM57B;ALDOA;PPP4C	NA;1.01758;14.247634;70.830241;0.1798534;3.5054253;6.8678204;1390.770186449;153.931394896838	0
16_29808070_29813191	5121	noRNA	QPRT;SPN;AC009133.17;C16orf54;AC009133.15;MAZ;TAOK2;HIRIP3;INO80E;DOC2A;C16orf92;DOC2A;FAM57B	99.29518;0.49358558;NA;1.01758;NA;282.6329414273;19.626986;14.247634;70.830241;3.5054253;0.1798534;3.5054253;6.8678204	0
16_29813689_29815641	1952	RNA	TAOK2;DOC2A	19.626986;3.5054253	0
16_29837305_29840089	2784	RNA	DOC2A;C16orf92;DOC2A;FAM57B	3.5054253;0.1798534;3.5054253;6.8678204	0
16_29840090_29844081	3991	RNA	ASPHD1;SEZ6L2;HIRIP3;INO80E;DOC2A	8.111379;17.471328;14.247634;70.830241;3.5054253	0
16_29844082_29848781	4699	RNA	HIRIP3;INO80E	14.247634;70.830241	0
16_29848782_29856776	7994	RNA	AC009133.15;MAZ;HIRIP3;INO80E;DOC2A	NA;282.6329414273;14.247634;70.830241;3.5054253	0
16_29856777_29870129	13352	RNA	AC009133.17;C16orf54;HIRIP3;INO80E;DOC2A;C16orf92;DOC2A;FAM57B	NA;1.01758;14.247634;70.830241;3.5054253;0.1798534;3.5054253;6.8678204	1
16_29870130_29872262	2132	noRNA	DOC2A;C16orf92;DOC2A;FAM57B	3.5054253;0.1798534;3.5054253;6.8678204	0
16_29872263_29874995	2732	RNA	AC009133.12;AC009133.20;MVP;HIRIP3;INO80E;DOC2A;C16orf92;DOC2A;FAM57B;ALDOA;PPP4C	NA;NA;4.140429;14.247634;70.830241;3.5054253;0.1798534;3.5054253;6.8678204;1390.770186449;153.931394896838	1
16_29885321_29886804	1483	RNA	HIRIP3;INO80E;C16orf92;DOC2A;FAM57B	14.247634;70.830241;0.1798534;3.5054253;6.8678204	0
16_29886836_29889024	2188	RNA	HIRIP3;INO80E;DOC2A;C16orf92;DOC2A;FAM57B;ALDOA;PPP4C	14.247634;70.830241;3.5054253;0.1798534;3.5054253;6.8678204;1390.770186449;153.931394896838	0
16_29889025_29896700	7675	RNA	TAOK2;HIRIP3;INO80E;C16orf92;DOC2A;FAM57B	19.626986;14.247634;70.830241;0.1798534;3.5054253;6.8678204	0
16_29896701_29910050	13349	RNA	HIRIP3;INO80E;C16orf92;DOC2A;FAM57B	14.247634;70.830241;0.1798534;3.5054253;6.8678204	0
16_29913773_29924991	11218	RNA	AC009133.12;AC009133.20;MVP;DOC2A	NA;NA;4.140429;3.5054253	1
16_29924992_29927730	2738	RNA	HIRIP3;INO80E;DOC2A	14.247634;70.830241;3.5054253	1
16_29927731_29943723	15992	RNA	HIRIP3;INO80E;C16orf92;DOC2A;FAM57B	14.247634;70.830241;0.1798534;3.5054253;6.8678204	1
16_29952634_29957568	4934	RNA	HIRIP3;INO80E	14.247634;70.830241	1
16_29957569_29965511	7942	noRNA	QPRT;SPN;AC009133.17;C16orf54;AC009133.12;AC009133.20;MVP;HIRIP3;INO80E;DOC2A;MYLPF;TBC1D10B	99.29518;0.49358558;NA;1.01758;NA;NA;4.140429;14.247634;70.830241;3.5054253;1.026677;18.58349	1
16_29973115_29984355	11240	RNA	AC009133.12;AC009133.20;MVP	NA;NA;4.140429	1
16_29987077_30003549	16472	RNA	AC009133.15;MAZ;DOC2A;C16orf92;DOC2A;FAM57B	NA;282.6329414273;3.5054253;0.1798534;3.5054253;6.8678204	0
16_30044855_30060725	15870	noRNA	AC009133.15;MAZ;AC009133.12;AC009133.20;MVP;DOC2A	NA;282.6329414273;NA;NA;4.140429;3.5054253	1
16_30060726_30063259	2533	RNA	AC009133.12;AC009133.20;MVP;CDIPT-AS1;CDIPT;SNORA30;SRCAP	NA;NA;4.140429;NA;71.068758;NA;32.974479	0
16_30063260_30064344	1084	RNA	AC009133.12;AC009133.20;MVP;ASPHD1;SEZ6L2	NA;NA;4.140429;8.111379;17.471328	0
16_30065590_30077829	12239	RNA	AC009133.15;MAZ;C16orf92;DOC2A;FAM57B	NA;282.6329414273;0.1798534;3.5054253;6.8678204	1
16_30131115_30136786	5671	RNA	SNORA30;SRCAP	NA;32.974479	1
16_3031997_3052026	20029	RNA	FLYWCH1;FLYWCH2;KREMEN2;LA16c-321D4.2;PAQR4;PKMYT1;CLDN6;TNFRSF12A;CCDC64B;HCFC1R1;MMP25;RP11-473M20.5;THOC6;ROGDI;RP11-127I20.5;SMIM22	18.4550260002107;16.762203;5.942195952819;NA;25.517418;68.8603553;640.68895;76.318957;NA;118.58492;6.422246;NA;66.9560533739;37.038033;NA;0.9246765	1
16_30355845_30362290	6445	noRNA	AC002310.7;RP11-146F11.5;ZNF688;ZNF785;ZNF689;SNORA30;SRCAP;ZNF668	NA;NA;5.267259;4.007181;11.3154326;NA;32.974479;10.500203	0
16_30371452_30375854	4402	RNA	MYLPF;TBC1D10B;FBRS;PRR14	1.026677;18.58349;5.35476241;7.398258	0
16_30375855_30378102	2247	RNA	CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B	58.71585;NA;1.026677;18.58349	0
16_30378103_30378869	766	noRNA	CD2BP2;RP11-347C12.10	58.71585;NA	0
16_30390016_30392322	2306	RNA	GGA2;ZNF689	98.817334;11.3154326	0
16_30402492_30403989	1497	noRNA	MYLPF;TBC1D10B;MYLPF;ZNF48	1.026677;18.58349;1.026677;27.21624	0
16_30403990_30407808	3818	RNA	MYLPF;TBC1D10B;MYLPF;MYLPF;ZNF48;ZNF689;SNORA30;SRCAP	1.026677;18.58349;1.026677;1.026677;27.21624;11.3154326;NA;32.974479	1
16_30408929_30414269	5340	RNA	ALDOA;PPP4C;CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;MYLPF;ZNF48;FBRS;PRR14;C16orf93;RNF40	1390.770186449;153.931394896838;58.71585;NA;1.026677;18.58349;1.026677;27.21624;5.35476241;7.398258;NA;47.86149278221	0
16_30425870_30430263	4393	RNA	DCTPP1;ZNF689;FBRS;PRR14	103.01991;11.3154326;5.35476241;7.398258	1
16_30436075_30440359	4284	RNA	MYLPF;TBC1D10B;AC002310.13;ZNF688;ZNF764;ZNF689	1.026677;18.58349;0.234556;5.267259;4.170794;11.3154326	1
16_30462200_30463367	1167	noRNA	AC002310.13;ZNF688;ZNF764;FBRS;PRR14	0.234556;5.267259;4.170794;5.35476241;7.398258	0
16_30463368_30478159	14791	RNA	SEPHS2;ZNF689	58.6734;11.3154326	0
16_30489953_30490937	984	RNA	SEPHS2	58.6734	0
16_30497448_30506844	9396	RNA	MIR3677;MIR4717;MIR940;SEPHS2;ZNF689	NA;NA;NA;58.6734;11.3154326	0
16_30506845_30524907	18062	RNA	DCTPP1;SEPHS2;ITGAL;Y_RNA	103.01991;58.6734;0.8036313;NA	0
16_30525029_30529439	4410	RNA	DCTPP1;SEPHS2	103.01991;58.6734	0
16_30529440_30530179	739	noRNA	SEPHS2	58.6734	1
16_30553495_30556976	3481	noRNA	GDPD3;RP11-455F5.4;CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;Sep-01;ZNF771;DCTPP1;SEPHS2;AC002310.7;RP11-146F11.5;ZNF688;ZNF785;ZNF689	0.995679;NA;58.71585;NA;1.026677;18.58349;NA;9.174104;103.01991;58.6734;NA;NA;5.267259;4.007181;11.3154326	0
16_30556977_30559743	2766	noRNA	MYLPF;TBC1D10B;DCTPP1;SEPHS2;ZNF689	1.026677;18.58349;103.01991;58.6734;11.3154326	0
16_30599063_30603110	4047	RNA	DCTPP1;SEPHS2	103.01991;58.6734	0
16_30603111_30606537	3426	noRNA	MYLPF;TBC1D10B;MYLPF;DCTPP1;SEPHS2	1.026677;18.58349;1.026677;103.01991;58.6734	0
16_30606538_30610554	4016	RNA	CD2BP2;RP11-347C12.10;MYLPF;MYLPF;ZNF48;Sep-01;SNORA42;DCTPP1;SEPHS2	58.71585;NA;1.026677;1.026677;27.21624;NA;NA;103.01991;58.6734	1
16_30610555_30614199	3644	noRNA	MYLPF;TBC1D10B;DCTPP1	1.026677;18.58349;103.01991	0
16_30614200_30617308	3108	RNA	CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;DCTPP1	58.71585;NA;1.026677;18.58349;103.01991	0
16_30624308_30626542	2234	RNA	DCTPP1	103.01991	0
16_30626543_30627863	1320	RNA	DCTPP1	103.01991	1
16_30627864_30628944	1080	noRNA	DCTPP1;SEPHS2	103.01991;58.6734	0
16_30628945_30637849	8904	RNA	Sep-01;DCTPP1;SEPHS2	NA;103.01991;58.6734	0
16_30637959_30640800	2841	RNA	MYLPF;DCTPP1;SEPHS2;ITGAL;Y_RNA	1.026677;103.01991;58.6734;0.8036313;NA	1
16_30640801_30641877	1076	noRNA	DCTPP1;SEPHS2	103.01991;58.6734	0
16_30641878_30645647	3769	RNA	BOLA2B;CORO1A;RP11-455F5.5;SLX1A;SLX1A-SULT1A3;SULT1A3;CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;MYLPF;MYLPF;ZNF48;ZNF771;SNORA42;DCTPP1;SEPHS2;ITGAL;Y_RNA;AC002310.7;RP11-146F11.5;ZNF688;ZNF785;ZNF689;RNU6-1043P;RP11-146F11.1;SRCAP	189.33234;5.9496355;NA;69.19473;14.009547;9.1935290530391;58.71585;NA;1.026677;18.58349;1.026677;1.026677;27.21624;9.174104;NA;103.01991;58.6734;0.8036313;NA;NA;NA;5.267259;4.007181;11.3154326;NA;NA;32.974479	0
16_30645648_30656992	11344	noRNA	ALDOA;PPP4C;BOLA2B;CORO1A;RP11-455F5.5;SLX1A;SLX1A-SULT1A3;SULT1A3;CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;Sep-01;ZNF771;SNORA42;DCTPP1;SEPHS2;SNORA30;SRCAP	1390.770186449;153.931394896838;189.33234;5.9496355;NA;69.19473;14.009547;9.1935290530391;58.71585;NA;1.026677;18.58349;NA;9.174104;NA;103.01991;58.6734;NA;32.974479	1
16_30656993_30661465	4472	noRNA	Sep-01;ZNF771;DCTPP1;SEPHS2;ZNF500	NA;9.174104;103.01991;58.6734;6.008968	1
16_30661466_30662062	596	RNA	AC009133.12;AC009133.20;MVP;SEPHS2	NA;NA;4.140429;58.6734	0
16_30681670_30686632	4962	RNA	SEPHS2;RNU6-1043P;RP11-146F11.1;SRCAP	58.6734;NA;NA;32.974479	1
16_30686633_30691876	5243	RNA	AC009133.17;C16orf54;CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;ZNF771;DCTPP1;SEPHS2;RNU6-1043P;RP11-146F11.1;SRCAP	NA;1.01758;58.71585;NA;1.026677;18.58349;9.174104;103.01991;58.6734;NA;NA;32.974479	0
16_30691877_30695445	3568	RNA	FBRS;PRR14	5.35476241;7.398258	0
16_30697662_30701398	3736	noRNA	DCTPP1	103.01991	0
16_30701399_30705134	3735	noRNA	MYLPF;TBC1D10B;DCTPP1;SNORA30;SRCAP;C16orf93;RNF40	1.026677;18.58349;103.01991;NA;32.974479;NA;47.86149278221	0
16_30712764_30717867	5103	RNA	CD2BP2;RP11-347C12.10;PHKG2;C16orf93;RNF40;ZNF629	58.71585;NA;30.740874452;NA;47.86149278221;8.71995	0
16_30722871_30723673	802	RNA	CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B	58.71585;NA;1.026677;18.58349	0
16_30725466_30733706	8240	RNA	SNORA30;SRCAP;PHKG2	NA;32.974479;30.740874452	0
16_30733707_30734818	1111	noRNA	RNU6-1043P;RP11-146F11.1;SRCAP;SNORA30;SRCAP	NA;NA;32.974479;NA;32.974479	1
16_30734819_30736505	1686	RNA	SNORA30;SRCAP;C16orf93;RNF40	NA;32.974479;NA;47.86149278221	0
16_30736506_30741000	4494	noRNA	SNORA30;SRCAP	NA;32.974479	1
16_30741001_30752864	11863	RNA	CD2BP2;RP11-347C12.10;MYLPF;RNU6-1043P;RP11-146F11.1;SRCAP;SNORA30;SRCAP;C16orf93;RNF40	58.71585;NA;1.026677;NA;NA;32.974479;NA;32.974479;NA;47.86149278221	0
16_30752865_30756895	4030	RNA	SNORA30;SRCAP;AC135048.1;HSD3B7;STX1B	NA;32.974479;NA;2.507226;2.909613	0
16_30762297_30764869	2572	RNA	SNORA30;SRCAP;C16orf93;RNF40	NA;32.974479;NA;47.86149278221	0
16_30764870_30771265	6395	RNA	CD2BP2;RP11-347C12.10;MYLPF;TBC1D10B;SNORA30;SRCAP	58.71585;NA;1.026677;18.58349;NA;32.974479	0
16_30775281_30779304	4023	RNA	CD2BP2;RP11-347C12.10;DCTPP1;SNORA30;SRCAP;AC106782.20;BCL7C;CTF1;MIR762	58.71585;NA;103.01991;NA;32.974479;NA;16.5136027;0.569842;NA	0
16_30779305_30785609	6304	RNA	DCTPP1;RNU6-1043P;RP11-146F11.1;SRCAP;SNORA30;SRCAP	103.01991;NA;NA;32.974479;NA;32.974479	0
16_30785610_30788763	3153	RNA	SNORA30;SRCAP;C16orf93;RNF40;ZNF629;AC106782.20;BCL7C;CTF1;MIR762	NA;32.974479;NA;47.86149278221;8.71995;NA;16.5136027;0.569842;NA	1
16_30788764_30791728	2964	noRNA	CD2BP2;RP11-347C12.10;C16orf93;RNF40;ZNF629;AC106782.20;BCL7C;CTF1;MIR762	58.71585;NA;NA;47.86149278221;8.71995;NA;16.5136027;0.569842;NA	1
16_30792080_30793481	1401	RNA	AC106782.20;BCL7C;CTF1;MIR762	NA;16.5136027;0.569842;NA	0
16_30804421_30813914	9493	RNA	DCTPP1;SNORA30;SRCAP;AC106782.20;BCL7C;CTF1;MIR762;FBXL19-AS1;FBXL19	103.01991;NA;32.974479;NA;16.5136027;0.569842;NA;NA;52.829965	1
16_30813915_30819707	5792	RNA	BOLA2B;CORO1A;RP11-455F5.5;SLX1A;SLX1A-SULT1A3;SULT1A3;RNU6-1043P;RP11-146F11.1;SRCAP;AC106782.20;BCL7C;CTF1;MIR762;FBXL19-AS1;FBXL19	189.33234;5.9496355;NA;69.19473;14.009547;9.1935290530391;NA;NA;32.974479;NA;16.5136027;0.569842;NA;NA;52.829965	0
16_30877266_30881666	4400	RNA	C16orf93;RNF40	NA;47.86149278221	1
16_30881667_30886040	4373	RNA	SNORA30;SRCAP;C16orf93;RNF40;ZNF629;AC106782.20;BCL7C;CTF1;MIR762	NA;32.974479;NA;47.86149278221;8.71995;NA;16.5136027;0.569842;NA	0
16_30886041_30888131	2090	RNA	CD2BP2;RP11-347C12.10;FBRS;PRR14;SNORA30;SRCAP;ZNF629;AC106782.20;BCL7C;CTF1;MIR762	58.71585;NA;5.35476241;7.398258;NA;32.974479;8.71995;NA;16.5136027;0.569842;NA	1
16_30891376_30897301	5925	RNA	RNU6-1043P;RP11-146F11.1;SRCAP;SNORA30;SRCAP	NA;NA;32.974479;NA;32.974479	0
16_30912666_30916331	3665	RNA	SNORA30;SRCAP;C16orf93;RNF40;ZNF629	NA;32.974479;NA;47.86149278221;8.71995	1
16_30916332_30933761	17429	RNA	SNORA30;SRCAP;C16orf93;RNF40;ZNF629;ORC6;VPS35	NA;32.974479;NA;47.86149278221;8.71995;80.2441974742;64.4661751191273	1
16_30939500_30949639	10139	noRNA	ELMO3;MIR328	3.379451;NA	1
16_30949640_30951202	1562	noRNA	SNORA30;SRCAP;C16orf93;RNF40	NA;32.974479;NA;47.86149278221	0
16_30975517_30977968	2451	RNA	SNORA30;SRCAP;AC135048.1;HSD3B7;STX1B	NA;32.974479;NA;2.507226;2.909613	0
16_30977969_30984588	6619	noRNA	SNORA30;SRCAP;SETD1A;AC135050.5;ZNF668;ZNF668;ZNF646;KAT8;PRSS36;PRSS8;RP11-388M20.2;ARMC5	NA;32.974479;17.018203;NA;10.500203;10.500203;8.720116;35.464724;0.8741602;35.360024;NA;6.950603	1
16_31048052_31056132	8080	RNA	C16orf93;RNF40;AC135048.1;HSD3B7;STX1B;STX1B;ZNF646;KAT8;PRSS36;PRSS8;RP11-388M20.2;COX6A2;ARMC5	NA;47.86149278221;NA;2.507226;2.909613;2.909613;8.720116;35.464724;0.8741602;35.360024;NA;0;6.950603	1
16_31056133_31057316	1183	noRNA	ARMC5	6.950603	0
16_31057317_31061528	4211	RNA	RP11-57A19.2;SBK1;AC135048.1;HSD3B7;STX1B;ZNF668;KAT8;PRSS36;PRSS8;RP11-388M20.2	NA;33.3556;NA;2.507226;2.909613;10.500203;35.464724;0.8741602;35.360024;NA	0
16_31061529_31072182	10653	RNA	SETD1A;AC135048.1;HSD3B7;STX1B;ZNF668;ZNF646;COX6A2;ARMC5	17.018203;NA;2.507226;2.909613;10.500203;8.720116;0;6.950603	0
16_31133605_31141368	7763	RNA	ZNF646	8.720116	0
16_31168296_31182770	14474	RNA	AC135048.1;HSD3B7;STX1B;KAT8;PRSS36;PRSS8;RP11-388M20.2;PYDC1;ARMC5;CLUHP3;CTD-2358C21.4;ZNF720	NA;2.507226;2.909613;35.464724;0.8741602;35.360024;NA;0.339416;6.950603;7.302972;NA;15.51194	1
16_31182771_31191435	8664	RNA	AC135048.13;ORAI3;STX4;KAT8;RP11-196G11.4;KAT8;PRSS36;PRSS8;RP11-388M20.2;ARMC5	NA;5.202052;27.687227;35.464724;NA;35.464724;0.8741602;35.360024;NA;6.950603	0
16_31198087_31201850	3763	RNA	PRSS53;RP11-196G11.1;VKORC1;AC135050.1;BCKDK;C16orf98;PYCARD;COX6A2;ARMC5	1.655097;1.19224;111.203996;NA;47.221689;NA;21.78899;0;6.950603	0
16_31201956_31207719	5763	RNA	AC135048.1;HSD3B7;STX1B;ZNF646;PRSS36;FUS;RP11-388M20.6;C16orf98;PYCARD;ARMC5;CLUHP3;CTD-2358C21.4;ZNF720	NA;2.507226;2.909613;8.720116;0.8741602;669.470444007165;NA;NA;21.78899;6.950603;7.302972;NA;15.51194	0
16_31207720_31209753	2033	RNA	AC135048.1;HSD3B7;STX1B;FUS;RP11-388M20.6;ARMC5;CLUHP3;CTD-2358C21.4;ZNF720	NA;2.507226;2.909613;669.470444007165;NA;6.950603;7.302972;NA;15.51194	0
16_31249423_31258264	8841	RNA	ARMC5	6.950603	0
16_31262359_31269596	7237	noRNA	ZNF646;PYDC1;ARMC5	8.720116;0.339416;6.950603	0
16_31275015_31277679	2664	RNA	ARMC5	6.950603	1
16_31279454_31283316	3862	RNA	AHSP	0.29029	0
16_31329967_31343707	13740	RNA	STX4;KAT8;PRSS36;PRSS8;RP11-388M20.2;PRSS36;FUS;RP11-388M20.6;C16orf98;PYCARD;PYDC1;TRIM72;PYDC1;ARMC5	27.687227;35.464724;0.8741602;35.360024;NA;0.8741602;669.470444007165;NA;NA;21.78899;0.339416;0.682211;0.339416;6.950603	1
16_31343950_31345581	1631	noRNA	KAT8;PRSS36;PRSS8;RP11-388M20.2;PRSS36;C16orf98;PYCARD;PYDC1	35.464724;0.8741602;35.360024;NA;0.8741602;NA;21.78899;0.339416	1
16_31345582_31347064	1482	noRNA	ZNF646;PYDC1;TRIM72;RNU7-199P	8.720116;0.339416;0.682211;NA	0
16_31357713_31359192	1479	RNA	KAT8;RP11-196G11.4;KAT8;PRSS36;PRSS8;RP11-388M20.2;PYDC1;RNU7-199P;CLUHP3;CTD-2358C21.4;ZNF720	35.464724;NA;35.464724;0.8741602;35.360024;NA;0.339416;NA;7.302972;NA;15.51194	0
16_31378720_31384316	5596	noRNA	PYDC1;RNU7-199P	0.339416;NA	0
16_31386779_31387973	1194	noRNA	PRSS36;PYDC1	0.8741602;0.339416	0
16_31387995_31394989	6994	RNA	AC135048.1;HSD3B7;STX1B;PRSS53;RP11-196G11.1;VKORC1;KAT8;PRSS36;PRSS8;RP11-388M20.2;PRSS36;FUS;RP11-388M20.6;C16orf98;PYCARD;PYDC1;ARMC5	NA;2.507226;2.909613;1.655097;1.19224;111.203996;35.464724;0.8741602;35.360024;NA;0.8741602;669.470444007165;NA;NA;21.78899;0.339416;6.950603	1
16_31394990_31396481	1491	RNA	KAT8;PRSS36;PRSS8;RP11-388M20.2;C16orf98;PYCARD;PYDC1	35.464724;0.8741602;35.360024;NA;NA;21.78899;0.339416	0
16_31396918_31403063	6145	noRNA	C16orf98;PYCARD;PYDC1	NA;21.78899;0.339416	0
16_31404740_31410506	5766	RNA	C16orf98;PYCARD;PYDC1	NA;21.78899;0.339416	0
16_31410507_31417765	7258	RNA	PRSS36;RNU7-199P	0.8741602;NA	0
16_31417766_31428772	11006	noRNA	STX1B;ZNF668;C16orf98;PYCARD;CLUHP3;CTD-2358C21.4;ZNF720	2.909613;10.500203;NA;21.78899;7.302972;NA;15.51194	0
16_31428773_31439055	10282	RNA	STX1B;KAT8;PRSS36;PRSS8;RP11-388M20.2;FUS;RP11-388M20.6;C16orf98;PYCARD;PYDC1;TRIM72;PYDC1;RNU7-199P	2.909613;35.464724;0.8741602;35.360024;NA;669.470444007165;NA;NA;21.78899;0.339416;0.682211;0.339416;NA	0
16_31440442_31440984	542	noRNA	KAT8;RP11-196G11.4;PRSS36;C16orf98;PYCARD;PYDC1	35.464724;NA;0.8741602;NA;21.78899;0.339416	0
16_31440985_31445672	4687	RNA	ZNF646;KAT8;PRSS36;PRSS8;RP11-388M20.2;PRSS36;C16orf98;PYCARD;PYDC1;TRIM72;PYDC1	8.720116;35.464724;0.8741602;35.360024;NA;0.8741602;NA;21.78899;0.339416;0.682211;0.339416	0
16_31445673_31456519	10846	RNA	ZNF668;ZNF646;KAT8;PRSS36;PRSS8;RP11-388M20.2;PRSS36;FUS;RP11-388M20.6;PYDC1;TRIM72;PYDC1	10.500203;8.720116;35.464724;0.8741602;35.360024;NA;0.8741602;669.470444007165;NA;0.339416;0.682211;0.339416	1
16_31456520_31462786	6266	RNA	FUS;RP11-388M20.6	669.470444007165;NA	0
16_31462787_31466453	3666	RNA	PYDC1;RNU7-199P	0.339416;NA	1
16_31469798_31472159	2361	RNA	AC135048.1;HSD3B7;STX1B;STX4;KAT8;PRSS36;PRSS8;RP11-388M20.2;PRSS36;FUS;RP11-388M20.6;C16orf98;PYCARD;PYDC1;TRIM72;PYDC1;RNU7-199P;CLUHP3;CTD-2358C21.4;ZNF720	NA;2.507226;2.909613;27.687227;35.464724;0.8741602;35.360024;NA;0.8741602;669.470444007165;NA;NA;21.78899;0.339416;0.682211;0.339416;NA;7.302972;NA;15.51194	1
16_31472160_31474221	2061	noRNA	STX1B;C16orf98;PYCARD;PYDC1	2.909613;NA;21.78899;0.339416	1
16_3167271_3178350	11079	RNA	CLDN6;TNFRSF12A;RP11-473M20.11;ZNF205-AS1;ZNF205;ZSCAN10;CASP16;RP11-473M20.14;ZNF213	640.68895;76.318957;NA;NA;18.02985;156.891178;NA;NA;5.56375602832	1
16_31707649_31713409	5760	RNA	ARMC5;SLC5A2;TGFB1I1	6.950603;0.337687036742;8.452480432791	1
16_31735476_31743971	8495	noRNA	ARMC5	6.950603	0
16_3178351_3179728	1377	RNA	CCDC64B;HCFC1R1;MMP25;RP11-473M20.5;THOC6;RP11-473M20.11;ZNF205-AS1;ZNF205;ZSCAN10	NA;118.58492;6.422246;NA;66.9560533739;NA;NA;18.02985;156.891178	1
16_3179729_3181818	2089	RNA	CCDC64B;HCFC1R1;MMP25;RP11-473M20.5;THOC6;RP11-473M20.11;ZNF205-AS1;ZNF205;ZSCAN10;GLIS2	NA;118.58492;6.422246;NA;66.9560533739;NA;NA;18.02985;156.891178;6.19137	1
16_31852191_31864441	12250	RNA	PYDC1;TRIM72;ARMC5	0.339416;0.682211;6.950603	0
